FGA富光真空工艺办公杯,True,FZ1012-460B,件(16只),,198
FGA富光真空外箱,True,FZ6004-1500,只,,2.2
FGA富光真空外箱,True,FZ8008-420B,只,,2.99
FGA富光真空外箱,True,FZ1005-480B,只,,6
FGA富光真空外箱,True,FZ6016-500T,只,,5
FGA富光真空外箱,True,FZ8006-280,只,,5
FGA富光真空杯,True,FZ1004-360,件(20只),,37.4
FGA富光真空杯,True,FZ8013-280,件(30只),,54
FGA富光双层生态办公杯,True,FZ8003-400B,件(20只),,40
FGA富光真空杯,True,FZ8017-550,件(30只),,20.5
FGA富光真空杯,True,FZ8017-700,件(30只),,24.5
FGA富光真空杯,True,FZ1014-280,件(30只),,32.5
FGA富光真空办公杯,True,FZ1014-450B,件(20只),,40
FGA富光真空杯,True,FZ1015-240,件(30只),,34.6
FGA富光真空杯,True,FZ1015-380,件(30只),,37.8
FGA富光真空杯,True,FZ8018-280,件(30只),,63
健牌单层,False,,,,0
小健牌单层玻璃杯,True,700-300,件(40只),510×325×195,4.8
中健牌单层玻璃杯,True,700-400,件(40只),515×365×215,5.5
健牌悠品,False,,,,0
中健牌悠品玻璃杯,True,701-280,件(40只),590×375×215,11.9
大健牌悠品玻璃杯,True,701-320,件(40只),615×385×220,12.9
中健牌悠品玻璃办公杯,True,701B-320,件(20只),550×345×180,15.9
中健牌悠品水晶玻璃杯,True,702-280,件(18只),,26.8
大健牌悠品水晶玻璃杯,True,702-320,件(18只),,28.8
中健牌悠品水晶办公杯,True,702B-320,件(18只),,32.8
特号健悠品水晶口杯,True,702-500,件(15只),,36.8
中健悠品水晶休闲玻璃口杯,True,702A-220,件(30只),,18.8
力德尔玻璃,False,,,,0
小号精品力德尔玻璃杯,True,LDR-8020,件(20只),528×335×205,32
中号力浮雕玻璃杯,True,LDR-8050,件(20只),475×440×245,43
力德尔纳米玻璃杯套装,True,,件(10只),475×440×245,40
小力德尔加长玻璃杯,True,,件(20只),475×440×245,10
力德尔中号双层玻璃杯,True,L1001-280,件(30只),475×440×245,8.5
280ml力德尔水晶玻璃杯,True,LG111-280,件(30只),475×440×245,16.9
中号精品力德尔玻璃杯,True,LDR-8015,件(20只),466×451×226,36
大号精品力德尔玻璃杯,True,LDR-8024,件(20只),466×451×226,38
特号精品力德尔玻璃杯,True,LDR-8030,件(12只),570×335×270,46
小号普通力德尔玻璃杯,True,LDR-8027,件(30只),368×305×174,18
中号普通力德尔玻璃杯,True,LDR-8013,件(30只),415×345×190,20
中号力德尔玻璃办公杯,True,LDR-B8032,件(16只),590×380×200,43
大号力德尔玻璃办公杯,True,LDR-B8033,件(16只),650×430×215,48
力德尔玻璃套装,True,LDR-B8042,件(10只),640×480×250,96
旅行壶,False,,,,0
新1.2L力德尔旅行壶,True,LDR-8054,件(12只),480×360×290,64
新1.5L力德尔旅行壶,True,LDR-8055,件(12只),480×360×315,68
新1.8L力德尔旅行壶,True,LDR-8056,件(12只),480×360×345,72
力德尔塑料电热水壶,True,LDR113-1500,件(6只),480×360×345,58
真空运动壶,False,,,,0
300力德尔真空运动壶,True,LDR-8057,件(30只),465×385×185,26
500力德尔真空运动壶,True,LDR-8058,件(30只),465×385×235,28
600力德尔真空运动壶,True,LDR-8059,件(30只),465×385×275,30
750力德尔真空运动壶,True,LDR-8070,件(30只),495×415×300,35
350力德尔真空动感壶,True,LDR-8073C,件(30只),495×415×300,35
500力德尔真空动感壶,True,LDR-8072B,件(30只),495×415×300,38
750力德尔真空动感壶,True,LDR-8071A,件(30只),495×415×300,33
直槽杯,False,,,,0
直槽杯650ML太空杯,True,,件(48只),,5.6
健牌生态,False,,,,0
280健牌生态杯,True,BJ-280,件(20只),,22.8
400健牌生态办公杯,True,BJ-400B,件(16只),,28.8
380健牌生态杯,True,BJ-380,件(20只),,38
休闲,False,,,,0
380休闲滤叶口杯二型,True,FGA200-380-2,件(40只),,7.8
380休闲滤叶口杯三型,True,FGA200-380-3,件(40只),,7.8
680休闲滤叶口杯,True,FGA200-680,件(40只),,9.8
380休闲滤叶口杯,True,FGA200-380,件(40只),,7.8
安全帽,False,,,,0
6001安全帽,True,,件(50只),,6.6
8003安全帽内衬,True,,只,,2.75
8004安全帽内衬,True,,只,,3.6
8005安全帽内衬,True,,只,,3.6
8008安全帽内衬,True,,只,,3.7
8003安全帽,True,,件(30只),,10.8
8004安全帽,True,,件(30只),,13.6
8005安全帽,True,,件(30只),,13.8
8006安全帽,True,,件(20只),,18.8
8008安全帽,True,,件(20只),,13
6003安全帽,True,,件(30只),,8.8
8004安全帽(无泡沫垫),True,,件(30只),,12.8
8005安全帽(无泡沫垫),True,,件(30只),,13
吸管真空杯,False,,,,0
340吸管真空杯,True,FGL-3250,件(30只),425×355×255,36.6
汽车杯,False,,,,0
280生态汽车杯（紫砂）,True,FGL-3219,件(30只),636×400×260,56
280生态汽车杯（陶瓷）,True,FGL-3219,件(30只),636×400×260,56
320真空汽车杯,True,FGK-3217,件(30只),636×400×260,45
450真空汽车杯,True,FGK-3216,件(30只),,48.6
280生态汽车杯配件,True,,套,,38
时尚真空,False,,,,0
350时尚办公杯,True,FGL-3253,件(16只),,55
500时尚办公杯,True,FGL-3254,件(16只),,66
义乌外贸品项,False,,,,0
1600ML三指杯配三角杯盖(BPA料),True,,件(48只),,11.6
500ML燕尾太空杯加铝盖,True,,件(48只),,6.8
1000ML直形杯配三角杯盖(BPA料),True,,件(48只),,8
350ML时尚背带吸管杯(BPA料),True,,件(48只),,6.2
400ml休闲滤叶太空杯,True,,件(48只),,8.8
600ml休闲滤叶太空杯,True,,件(48只),,10.8
EP350ML直形吸管杯,True,,件(48只),,4.2
三角杯400ML,True,,件(48只),,3.9
储藏罐125ML,True,,只,,4
储藏罐300ML,True,,只,,5.2
300ml手柄吸管杯(BPA),True,,件(48只),,5.2
400ml手柄吸管杯(BPA),True,,件(48只),,6
E动800太空杯2#,True,,件(48只),,8.8
400ml提带吸管杯(BPA),True,,件(48只),,6.4
300ml提带吸管杯(BPA),True,,件(48只),,5.8
新动感400杯3型-2(BPA),True,,件(48只),,6.2
新动感500杯3型-2(BPA),True,,件(48只),,6.6
新动感600杯3型-2(BPA),True,,件(48只),,7.4
易开太空杯500ML,True,,件(48只),,7.6
易开太空杯680ML,True,,件(48只),,8
易开太空杯680ML(BPA),True,,件(48只),,9.6
易开太空杯500ML(BPA),True,,件(48只),,8.6
800ml时尚太空杯8型,True,,件(48只),,8.8
E动1000太空杯2#,True,,件(48只),,9.8
动感滤叶1500ML杯铝盖（双提绊）,True,,件(48只),,10.65
动感提绊(无盖）,True,,只,,0.5
动感软绊(无盖）,True,,只,,0.8
义乌吸管,True,,只,,0.7
3A E代1000ml太空杯,True,,件(48只),,6.6
3A E代1000ml太空杯(无滤网),True,,件(48只),,6.4
小冷冻棒,True,,只,,0.55
大冷冻棒,True,,只,,0.6
新动感1000ml杯1型（BPA料）,True,,件(48只),,10.8
1000凹槽杯,True,,件(48只),,7.4
新动感750ML太空杯1#,True,,件(48只),,8.2
750ML直型杯（BPA）,True,,件(48只),,6.5
新动感1000ML太空杯1#,True,,件(48只),,8.8
老800ml加重（14g）,True,,件(48只),,5.6
老500ml加重（21g）,True,,件(48只),,4.8
老1000ml加重（47g）,True,,件(48只),,8
800ML燕尾太空杯加铝盖,True,,件(48只),,7.6
动感滤叶太空杯1500ML(BPA料),True,,件(48只),,11.4
1500凹槽杯（无冷冻棒）,True,,件(48只),,8.9
动感滤叶2800ML杯铝盖（双提绊）,True,,件(30只),,16.05
时尚吸管（整支）,True,,只,,0.7
750ML时尚太空杯5型-1型,True,,件(48只),,8
750ML时尚太空杯5型-2型,True,,件(48只),,8
开模费,True,,只,,1
富光A型500ML太空杯,True,,件(48只),,4.8
富光B型800ML太空杯,True,,件(48只),,6.8
新动感800杯3型-1,True,FGA123-800,件(48只),,7.8
新动感1000杯3型-1,True,FGA123-1000,件(48只),,8.8
650凹槽杯,True,,件(48只),,5.6
500子弹头太空杯,True,FGA130-500,件(48只),,10.6
800凹槽杯,True,,件(48只),,6.4
动感滤叶太空杯2000ML（BPA料）,True,,件(30只),,13.8
富光A型400ML太空杯,True,,件(48只),,4.3
动力太空杯2000ML(无吸管),True,,件(30只),,12.6
动力太空杯2000ML(BPA料),True,,件(30只),,14
动力太空杯600ML(BPA料),True,,件(48只),,6.6
600时尚六型太空杯（BPA料）,True,,件(48只),,7.6
500斜口太空杯,True,,件(48只),,5.4
